,letter,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
0,T,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,1,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,10,8,0,8,0,ERRORABC123!?
1,I,ERRORABC123!?,12,3,7,ERRORABC123!?,ERRORABC123!?,5,5,4,ERRORABC123!?,ERRORABC123!?,9,2,ERRORABC123!?,4,10
2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,8,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,10,3,ERRORABC123!?,3,7,3,9
3,ERRORABC123!?,ERRORABC123!?,11,ERRORABC123!?,6,3,ERRORABC123!?,9,4,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,6,10,ERRORABC123!?,8
4,G,ERRORABC123!?,1,ERRORABC123!?,1,1,8,ERRORABC123!?,ERRORABC123!?,6,6,5,9,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?
5,S,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,6,6,ERRORABC123!?,8,9,7
6,ERRORABC123!?,4,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,6,ERRORABC123!?,7,6,6,ERRORABC123!?,ERRORABC123!?,7,10
7,ERRORABC123!?,ERRORABC123!?,1,3,2,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,2,8,ERRORABC123!?,8,1,6,ERRORABC123!?,7
8,ERRORABC123!?,2,2,4,4,ERRORABC123!?,10,6,ERRORABC123!?,6,12,4,8,1,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
9,M,11,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,2,6,2,12,1,ERRORABC123!?,8,ERRORABC123!?,1,8
10,X,ERRORABC123!?,9,5,7,ERRORABC123!?,8,7,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,8,6,ERRORABC123!?
11,O,6,13,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,7,6,3,10,7,9,5,ERRORABC123!?,5,ERRORABC123!?
12,G,4,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,8,6,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,4,8,7,ERRORABC123!?
13,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,6,9,ERRORABC123!?,8,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,9,8,6
14,ERRORABC123!?,5,9,5,ERRORABC123!?,6,6,11,7,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,5,11
15,F,6,9,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,5,ERRORABC123!?,3,ERRORABC123!?,6,9
16,O,3,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,5,7,6,8,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
17,ERRORABC123!?,ERRORABC123!?,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,8,6,8,11,ERRORABC123!?,ERRORABC123!?,2,8,5,ERRORABC123!?
18,ERRORABC123!?,ERRORABC123!?,11,ERRORABC123!?,8,5,6,11,5,6,11,ERRORABC123!?,ERRORABC123!?,3,12,2,ERRORABC123!?
19,J,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,10,6,ERRORABC123!?,6,ERRORABC123!?,4,9,0,7,1,7
20,J,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,1,8,8,ERRORABC123!?,5,14,ERRORABC123!?,8,0,7,0,ERRORABC123!?
21,ERRORABC123!?,4,5,5,ERRORABC123!?,ERRORABC123!?,7,7,ERRORABC123!?,ERRORABC123!?,7,6,ERRORABC123!?,3,8,ERRORABC123!?,ERRORABC123!?
22,ERRORABC123!?,3,2,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,7,5,7,ERRORABC123!?,7,2,8,9,ERRORABC123!?
23,O,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,7,6,ERRORABC123!?,ERRORABC123!?,7,5,9,4,8,ERRORABC123!?,5
24,ERRORABC123!?,3,6,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,14,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,1,6
25,C,ERRORABC123!?,11,7,8,3,7,ERRORABC123!?,7,11,4,ERRORABC123!?,14,1,ERRORABC123!?,4,8
