,letter,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
0,T,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?,13,0,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8
1,ERRORABC123!?,ERRORABC123!?,12,ERRORABC123!?,7,2,10,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?
2,D,4,11,ERRORABC123!?,8,6,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9
3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,4,6,ERRORABC123!?,ERRORABC123!?,10,ERRORABC123!?,10,2,ERRORABC123!?
4,G,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?,ERRORABC123!?,6,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?,5,ERRORABC123!?
5,S,ERRORABC123!?,ERRORABC123!?,5,8,3,ERRORABC123!?,8,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,0,8,ERRORABC123!?,7
6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,4,8,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,8,7,10
7,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,2,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,2,7
8,J,ERRORABC123!?,ERRORABC123!?,4,4,2,10,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,1,6,ERRORABC123!?,ERRORABC123!?
9,M,ERRORABC123!?,15,13,ERRORABC123!?,7,13,2,6,ERRORABC123!?,ERRORABC123!?,1,9,ERRORABC123!?,1,ERRORABC123!?,ERRORABC123!?
