,letter,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
0,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,1,8,13,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,0,8,0,ERRORABC123!?
1,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,9,2,ERRORABC123!?,4,ERRORABC123!?
2,ERRORABC123!?,ERRORABC123!?,11,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,10,3,7,ERRORABC123!?,7,3,ERRORABC123!?
3,ERRORABC123!?,ERRORABC123!?,11,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?,4,4,ERRORABC123!?,ERRORABC123!?,10,2,ERRORABC123!?
4,ERRORABC123!?,ERRORABC123!?,1,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,6,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
5,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,0,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
6,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,10
7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?
8,J,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,10,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7
9,ERRORABC123!?,11,ERRORABC123!?,13,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,1,9,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
