,letter,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
0,T,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,1,8,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,0,8,ERRORABC123!?,8
1,I,5,ERRORABC123!?,3,7,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,3,ERRORABC123!?,2,8,ERRORABC123!?,10
2,ERRORABC123!?,4,11,6,ERRORABC123!?,ERRORABC123!?,10,ERRORABC123!?,2,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?
3,N,7,11,6,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,6,ERRORABC123!?,4,10,ERRORABC123!?,ERRORABC123!?,2,8
4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,1,1,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,10
5,S,4,ERRORABC123!?,5,8,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,9,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,7
6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,4,4,ERRORABC123!?,7,ERRORABC123!?,6,7,6,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
7,ERRORABC123!?,1,1,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,8,ERRORABC123!?,8,1,6,ERRORABC123!?,ERRORABC123!?
8,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,4,2,ERRORABC123!?,6,2,ERRORABC123!?,12,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,1,7
9,M,ERRORABC123!?,15,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,6,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,8
10,X,3,9,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,5,6,ERRORABC123!?,2,8,ERRORABC123!?,7
11,ERRORABC123!?,ERRORABC123!?,13,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,6,ERRORABC123!?,10,7,ERRORABC123!?,5,9,ERRORABC123!?,ERRORABC123!?
12,ERRORABC123!?,ERRORABC123!?,9,6,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,11,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?
13,ERRORABC123!?,ERRORABC123!?,9,8,6,9,ERRORABC123!?,8,6,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,6
14,R,ERRORABC123!?,9,5,7,ERRORABC123!?,6,ERRORABC123!?,7,3,7,3,9,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,11
15,ERRORABC123!?,6,9,ERRORABC123!?,ERRORABC123!?,3,10,ERRORABC123!?,ERRORABC123!?,5,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
16,ERRORABC123!?,3,4,4,ERRORABC123!?,2,ERRORABC123!?,7,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,2,8,3,ERRORABC123!?
17,C,7,10,5,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,8,11,ERRORABC123!?,11,ERRORABC123!?,8,5,9
18,ERRORABC123!?,ERRORABC123!?,11,6,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,11,9,ERRORABC123!?,3,ERRORABC123!?,2,4
19,ERRORABC123!?,2,2,3,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,0,7,ERRORABC123!?,7
20,ERRORABC123!?,ERRORABC123!?,3,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,14,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,7
21,H,4,5,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,6,6,7,6,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
22,ERRORABC123!?,3,2,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,2,8,ERRORABC123!?,ERRORABC123!?
23,ERRORABC123!?,6,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,7,6,9,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
24,J,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,6,4,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,1,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
25,C,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,11,ERRORABC123!?,7,14,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?
26,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,3,ERRORABC123!?,4,5,10,11,10,10,9,5,7
27,W,12,14,12,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,10,7,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
28,H,6,9,ERRORABC123!?,7,6,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,9,6,8,4,8
29,G,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,5,5,6,6,ERRORABC123!?,ERRORABC123!?,8,4,8
30,L,ERRORABC123!?,3,ERRORABC123!?,4,1,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,0,8,ERRORABC123!?,8
31,L,ERRORABC123!?,3,3,1,ERRORABC123!?,6,4,1,7,8,ERRORABC123!?,10,ERRORABC123!?,ERRORABC123!?,2,9
