,usual,proper,complete,1,convenient,convenient.1,nonprob,recommended,recommend
0,usual,proper,complete,1,convenient,convenient,ERRORABC123!?,priority,priority
1,usual,proper,complete,1,convenient,convenient,ERRORABC123!?,ERRORABC123!?,not_recom
2,ERRORABC123!?,proper,ERRORABC123!?,1,convenient,convenient,slightly_prob,recommended,ERRORABC123!?
3,usual,proper,complete,1,convenient,convenient,ERRORABC123!?,priority,priority
4,usual,ERRORABC123!?,complete,ERRORABC123!?,convenient,convenient,slightly_prob,not_recom,not_recom
5,usual,proper,complete,1,convenient,convenient,problematic,recommended,priority
6,usual,ERRORABC123!?,complete,ERRORABC123!?,ERRORABC123!?,convenient,problematic,priority,priority
7,usual,proper,complete,1,convenient,convenient,problematic,not_recom,not_recom
8,ERRORABC123!?,ERRORABC123!?,complete,1,convenient,inconv,nonprob,recommended,very_recom
9,usual,ERRORABC123!?,complete,ERRORABC123!?,ERRORABC123!?,inconv,nonprob,priority,priority
10,usual,proper,complete,1,convenient,inconv,nonprob,not_recom,not_recom
11,ERRORABC123!?,proper,complete,1,convenient,inconv,ERRORABC123!?,recommended,very_recom
12,usual,proper,complete,ERRORABC123!?,convenient,inconv,slightly_prob,priority,ERRORABC123!?
13,usual,ERRORABC123!?,complete,1,ERRORABC123!?,ERRORABC123!?,slightly_prob,ERRORABC123!?,not_recom
14,usual,proper,complete,1,convenient,ERRORABC123!?,problematic,recommended,priority
15,usual,proper,complete,ERRORABC123!?,convenient,inconv,problematic,priority,priority
16,usual,proper,complete,ERRORABC123!?,ERRORABC123!?,inconv,problematic,not_recom,not_recom
17,usual,proper,ERRORABC123!?,1,less_conv,convenient,nonprob,recommended,very_recom
18,usual,ERRORABC123!?,complete,ERRORABC123!?,less_conv,convenient,nonprob,priority,priority
19,usual,proper,ERRORABC123!?,ERRORABC123!?,less_conv,convenient,ERRORABC123!?,not_recom,ERRORABC123!?
20,usual,ERRORABC123!?,complete,1,ERRORABC123!?,convenient,ERRORABC123!?,recommended,ERRORABC123!?
21,ERRORABC123!?,proper,ERRORABC123!?,1,less_conv,convenient,slightly_prob,priority,priority
22,ERRORABC123!?,ERRORABC123!?,complete,1,less_conv,convenient,slightly_prob,not_recom,not_recom
23,usual,ERRORABC123!?,complete,1,less_conv,convenient,ERRORABC123!?,ERRORABC123!?,priority
24,usual,proper,complete,1,less_conv,ERRORABC123!?,problematic,priority,ERRORABC123!?
25,usual,proper,complete,ERRORABC123!?,less_conv,convenient,problematic,not_recom,not_recom
26,usual,proper,complete,1,ERRORABC123!?,inconv,nonprob,recommended,very_recom
27,usual,proper,complete,1,less_conv,inconv,nonprob,priority,priority
28,usual,proper,complete,1,ERRORABC123!?,inconv,nonprob,not_recom,not_recom
29,usual,proper,ERRORABC123!?,1,less_conv,inconv,slightly_prob,recommended,ERRORABC123!?
30,usual,proper,complete,1,less_conv,ERRORABC123!?,ERRORABC123!?,priority,priority
31,usual,proper,ERRORABC123!?,1,less_conv,inconv,slightly_prob,not_recom,ERRORABC123!?
32,usual,proper,complete,1,less_conv,inconv,problematic,recommended,ERRORABC123!?
33,usual,proper,complete,1,less_conv,inconv,problematic,priority,ERRORABC123!?
34,usual,proper,ERRORABC123!?,1,less_conv,inconv,problematic,ERRORABC123!?,not_recom
35,usual,proper,complete,ERRORABC123!?,critical,convenient,ERRORABC123!?,recommended,ERRORABC123!?
36,usual,proper,complete,1,ERRORABC123!?,ERRORABC123!?,nonprob,priority,priority
37,usual,proper,complete,1,critical,convenient,nonprob,not_recom,not_recom
38,usual,proper,ERRORABC123!?,1,critical,convenient,slightly_prob,recommended,very_recom
39,usual,ERRORABC123!?,complete,ERRORABC123!?,ERRORABC123!?,convenient,slightly_prob,priority,priority
40,ERRORABC123!?,proper,complete,1,ERRORABC123!?,convenient,slightly_prob,not_recom,not_recom
41,usual,proper,ERRORABC123!?,1,critical,convenient,problematic,recommended,priority
42,usual,proper,complete,1,critical,ERRORABC123!?,problematic,priority,priority
43,ERRORABC123!?,proper,complete,ERRORABC123!?,critical,convenient,problematic,not_recom,not_recom
44,usual,proper,ERRORABC123!?,1,critical,inconv,nonprob,recommended,very_recom
45,ERRORABC123!?,proper,complete,1,critical,inconv,nonprob,ERRORABC123!?,ERRORABC123!?
46,usual,proper,complete,1,critical,inconv,ERRORABC123!?,not_recom,ERRORABC123!?
47,ERRORABC123!?,proper,complete,1,critical,inconv,ERRORABC123!?,recommended,very_recom
48,usual,proper,complete,1,critical,inconv,ERRORABC123!?,priority,priority
49,usual,ERRORABC123!?,complete,1,ERRORABC123!?,inconv,slightly_prob,not_recom,not_recom
50,usual,proper,complete,1,critical,inconv,problematic,recommended,priority
51,usual,proper,complete,1,ERRORABC123!?,inconv,problematic,priority,priority
52,ERRORABC123!?,proper,complete,1,critical,inconv,problematic,not_recom,not_recom
53,usual,proper,ERRORABC123!?,2,convenient,convenient,nonprob,recommended,very_recom
54,usual,proper,complete,2,convenient,convenient,nonprob,ERRORABC123!?,priority
55,usual,proper,ERRORABC123!?,2,convenient,ERRORABC123!?,nonprob,not_recom,not_recom
56,usual,proper,complete,2,convenient,ERRORABC123!?,slightly_prob,recommended,ERRORABC123!?
57,usual,proper,complete,2,ERRORABC123!?,convenient,slightly_prob,priority,priority
58,ERRORABC123!?,ERRORABC123!?,complete,2,convenient,ERRORABC123!?,ERRORABC123!?,not_recom,not_recom
59,usual,proper,complete,2,convenient,ERRORABC123!?,ERRORABC123!?,recommended,priority
60,usual,proper,complete,ERRORABC123!?,convenient,convenient,problematic,priority,priority
61,usual,ERRORABC123!?,ERRORABC123!?,2,convenient,convenient,ERRORABC123!?,ERRORABC123!?,not_recom
62,ERRORABC123!?,proper,complete,2,convenient,inconv,nonprob,recommended,very_recom
63,usual,proper,complete,2,convenient,inconv,nonprob,priority,priority
64,usual,proper,complete,2,convenient,inconv,nonprob,not_recom,ERRORABC123!?
65,ERRORABC123!?,proper,ERRORABC123!?,2,convenient,inconv,slightly_prob,recommended,very_recom
66,ERRORABC123!?,proper,complete,ERRORABC123!?,convenient,inconv,slightly_prob,ERRORABC123!?,priority
67,usual,proper,complete,2,ERRORABC123!?,ERRORABC123!?,slightly_prob,not_recom,not_recom
68,ERRORABC123!?,proper,complete,2,convenient,inconv,problematic,ERRORABC123!?,priority
69,usual,proper,complete,ERRORABC123!?,convenient,inconv,ERRORABC123!?,priority,priority
70,usual,proper,complete,2,convenient,inconv,problematic,not_recom,ERRORABC123!?
71,usual,proper,complete,2,less_conv,convenient,nonprob,recommended,very_recom
72,usual,proper,complete,2,less_conv,convenient,nonprob,priority,priority
73,usual,proper,ERRORABC123!?,2,less_conv,convenient,nonprob,not_recom,not_recom
74,usual,proper,complete,2,ERRORABC123!?,convenient,slightly_prob,recommended,very_recom
75,usual,proper,ERRORABC123!?,2,less_conv,convenient,slightly_prob,priority,priority
76,usual,proper,complete,2,ERRORABC123!?,convenient,slightly_prob,not_recom,not_recom
77,usual,proper,complete,2,less_conv,convenient,problematic,recommended,priority
78,usual,proper,complete,2,less_conv,ERRORABC123!?,problematic,priority,priority
79,usual,ERRORABC123!?,complete,2,less_conv,convenient,problematic,not_recom,not_recom
80,usual,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,less_conv,inconv,nonprob,recommended,very_recom
81,usual,ERRORABC123!?,complete,2,ERRORABC123!?,inconv,nonprob,priority,priority
82,ERRORABC123!?,proper,ERRORABC123!?,2,less_conv,ERRORABC123!?,nonprob,not_recom,not_recom
83,ERRORABC123!?,ERRORABC123!?,complete,2,less_conv,inconv,ERRORABC123!?,recommended,very_recom
84,usual,proper,complete,2,less_conv,inconv,slightly_prob,priority,ERRORABC123!?
85,usual,proper,complete,2,less_conv,inconv,slightly_prob,not_recom,not_recom
86,usual,proper,complete,2,ERRORABC123!?,inconv,problematic,recommended,priority
87,usual,proper,complete,2,less_conv,inconv,problematic,priority,ERRORABC123!?
88,usual,ERRORABC123!?,complete,2,less_conv,inconv,problematic,ERRORABC123!?,not_recom
89,ERRORABC123!?,ERRORABC123!?,complete,2,critical,ERRORABC123!?,nonprob,recommended,priority
90,usual,proper,complete,2,critical,convenient,nonprob,priority,ERRORABC123!?
91,usual,proper,complete,2,critical,convenient,nonprob,ERRORABC123!?,ERRORABC123!?
92,usual,proper,ERRORABC123!?,ERRORABC123!?,critical,convenient,slightly_prob,recommended,priority
93,usual,proper,complete,2,critical,convenient,slightly_prob,priority,priority
94,ERRORABC123!?,proper,complete,2,critical,convenient,slightly_prob,not_recom,not_recom
95,usual,proper,ERRORABC123!?,ERRORABC123!?,critical,convenient,problematic,recommended,priority
96,usual,proper,complete,2,critical,convenient,problematic,ERRORABC123!?,priority
97,usual,proper,ERRORABC123!?,2,critical,convenient,problematic,not_recom,not_recom
98,ERRORABC123!?,proper,complete,2,critical,inconv,ERRORABC123!?,recommended,priority
99,usual,proper,complete,2,ERRORABC123!?,ERRORABC123!?,nonprob,priority,priority
100,usual,proper,complete,2,critical,inconv,nonprob,not_recom,not_recom
101,usual,proper,ERRORABC123!?,2,critical,ERRORABC123!?,ERRORABC123!?,recommended,priority
102,usual,ERRORABC123!?,complete,2,critical,inconv,slightly_prob,ERRORABC123!?,priority
103,ERRORABC123!?,proper,complete,2,critical,inconv,slightly_prob,not_recom,not_recom
104,usual,proper,complete,2,critical,inconv,problematic,recommended,priority
105,usual,proper,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,problematic,priority,priority
