name,addr,city,phone,type,class
arnie morton's of chicago,435 s. la cienega blv.,los angeles,310/246-1501,?,0
arnie morton's of chicago,435 s. la cienega blvd.,los angeles,310-246-1501,?,?
art's delicatessen,12224 ventura blvd.,studio city,?,american,?
art's deli,12224 ventura blvd.,?,?,?,?
hotel bel-air,701 stone canyon rd.,bel air,310/472-1211,?,?
bel-air hotel,701 stone canyon rd.,?,?,?,?
cafe bizou,14016 ventura blvd.,sherman oaks,?,french,3
cafe bizou,14016 ventura blvd.,sherman oaks,818-788-3536,?,?
campanile,624 s. la brea ave.,?,213/938-1447,american,4
campanile,624 s. la brea ave.,?,?,?,?
chinois on main,2709 main st.,santa monica,?,?,?
chinois on main,2709 main st.,?,?,pacific new wave,?
citrus,6703 melrose ave.,los angeles,?,californian,?
citrus,6703 melrose ave.,?,?,californian,6
fenix,8358 sunset blvd. west,?,?,?,7
fenix at the argyle,8358 sunset blvd.,w. hollywood,?,?,7
granita,23725 w. malibu rd.,malibu,?,?,?
granita,23725 w. malibu rd.,?,?,californian,8
grill on the alley,9560 dayton way,los angeles,?,?,9
grill  the,9560 dayton way,beverly hills,310-276-0615,?,?
restaurant katsu,1972 n. hillhurst ave.,?,?,asian,?
katsu,1972 hillhurst ave.,?,213-665-1891,japanese,?
l'orangerie,903 n. la cienega blvd.,los angeles,?,french,11
l'orangerie,903 n. la cienega blvd.,w. hollywood,?,french (classic),?
le chardonnay,8284 melrose ave.,?,?,french,?
le chardonnay (los angeles),8284 melrose ave.,los angeles,?,?,12
locanda veneta,3rd st.,los angeles,310/274-1893,?,?
locanda veneta,8638 w. third st.,los angeles,310-274-1893,?,?
matsuhisa,129 n. la cienega blvd.,?,310/659-9639,asian,?
matsuhisa,129 n. la cienega blvd.,beverly hills,310-659-9639,?,?
the palm,9001 santa monica blvd.,los angeles,310/550-8811,american,15
palm  the (los angeles),9001 santa monica blvd.,w. hollywood,310-550-8811,?,15
patina,5955 melrose ave.,?,213/467-1108,?,16
patina,5955 melrose ave.,?,?,californian,16
philippe's the original,1001 n. alameda st.,?,213/628-3781,?,?
philippe the original,1001 n. alameda st.,chinatown,213-628-3781,?,17
pinot bistro,12969 ventura blvd.,?,?,french,?
pinot bistro,12969 ventura blvd.,?,?,?,18
rex il ristorante,617 s. olive st.,?,213/627-2300,?,19
rex il ristorante,617 s. olive st.,los angeles,213-627-2300,nuova cucina italian,19
spago,1114 horn ave.,los angeles,310/652-4025,?,?
spago (los angeles),8795 sunset blvd.,?,?,californian,20
valentino,3115 pico blvd.,santa monica,310/829-4313,?,?
valentino,3115 pico blvd.,?,310-829-4313,italian,21
yujean kang's gourmet chinese cuisine,67 n. raymond ave.,los angeles,?,asian,?
yujean kang's,67 n. raymond ave.,pasadena,?,?,?
21 club,21 w. 52nd st.,?,212/582-7200,?,?
21 club,21 w. 52nd st.,?,?,?,?
aquavit,13 w. 54th st.,?,?,?,24
aquavit,13 w. 54th st.,?,?,?,24
aureole,34 e. 61st st.,?,?,american,25
aureole,34 e. 61st st.,?,?,?,?
cafe lalo,201 w. 83rd st.,?,?,coffee bar,26
cafe lalo,201 w. 83rd st.,?,?,?,26
cafe des artistes,1 w. 67th st.,?,212/877-3500,?,?
cafe des artistes,1 w. 67th st.,?,212-877-3500,french (classic),27
carmine's,2450 broadway  between 90th and 91st sts.,?,?,?,?
carmine's,2450 broadway,?,?,?,?
carnegie deli,854 7th ave.  between 54th and 55th sts.,new york,212/757-2245,?,29
carnegie deli,854 seventh ave.,?,212-757-2245,?,29
chanterelle,2 harrison st.  near hudson st.,?,?,?,?
chanterelle,2 harrison st.,?,?,?,?
daniel,20 e. 76th st.,new york,212/288-0033,?,?
daniel,20 e. 76th st.,?,?,?,?
