name,addr,city,phone,type,class
arnie morton's of chicago,435 s. la cienega blv.,?,310/246-1501,?,?
arnie morton's of chicago,435 s. la cienega blvd.,los angeles,?,steakhouses,?
art's delicatessen,12224 ventura blvd.,?,?,?,?
art's deli,12224 ventura blvd.,studio city,?,?,1
hotel bel-air,701 stone canyon rd.,?,310/472-1211,?,2
bel-air hotel,701 stone canyon rd.,bel air,?,?,2
cafe bizou,14016 ventura blvd.,sherman oaks,?,french,?
cafe bizou,14016 ventura blvd.,?,?,?,3
campanile,624 s. la brea ave.,?,?,?,?
campanile,624 s. la brea ave.,?,?,?,?
chinois on main,2709 main st.,santa monica,310/392-9025,?,?
chinois on main,2709 main st.,santa monica,?,?,5
citrus,6703 melrose ave.,?,?,?,6
citrus,6703 melrose ave.,los angeles,213-857-0034,californian,?
fenix,8358 sunset blvd. west,?,?,american,?
fenix at the argyle,8358 sunset blvd.,?,?,?,?
granita,23725 w. malibu rd.,?,?,?,8
granita,23725 w. malibu rd.,?,310-456-0488,?,?
grill on the alley,9560 dayton way,los angeles,?,?,?
grill  the,9560 dayton way,?,?,?,?
restaurant katsu,1972 n. hillhurst ave.,?,?,asian,10
katsu,1972 hillhurst ave.,?,?,japanese,10
l'orangerie,903 n. la cienega blvd.,?,?,french,11
l'orangerie,903 n. la cienega blvd.,w. hollywood,310-652-9770,?,11
le chardonnay,8284 melrose ave.,?,?,?,?
le chardonnay (los angeles),8284 melrose ave.,?,213-655-8880,?,12
locanda veneta,3rd st.,?,?,italian,?
locanda veneta,8638 w. third st.,?,?,italian,13
matsuhisa,129 n. la cienega blvd.,?,310/659-9639,asian,?
matsuhisa,129 n. la cienega blvd.,?,?,seafood,?
the palm,9001 santa monica blvd.,?,?,american,?
palm  the (los angeles),9001 santa monica blvd.,w. hollywood,310-550-8811,steakhouses,?
patina,5955 melrose ave.,?,213/467-1108,californian,16
patina,5955 melrose ave.,?,213-467-1108,californian,?
philippe's the original,1001 n. alameda st.,?,?,?,?
philippe the original,1001 n. alameda st.,?,213-628-3781,?,?
pinot bistro,12969 ventura blvd.,?,?,?,18
pinot bistro,12969 ventura blvd.,?,?,french bistro,18
rex il ristorante,617 s. olive st.,los angeles,?,italian,?
rex il ristorante,617 s. olive st.,?,213-627-2300,?,19
spago,1114 horn ave.,los angeles,?,?,?
spago (los angeles),8795 sunset blvd.,?,?,?,?
valentino,3115 pico blvd.,santa monica,?,italian,?
valentino,3115 pico blvd.,?,?,?,?
yujean kang's gourmet chinese cuisine,67 n. raymond ave.,?,?,asian,22
yujean kang's,67 n. raymond ave.,pasadena,?,chinese,?
21 club,21 w. 52nd st.,?,?,american,?
21 club,21 w. 52nd st.,new york city,?,american (new),?
aquavit,13 w. 54th st.,new york,212/307-7311,continental,24
aquavit,13 w. 54th st.,new york city,212-307-7311,?,?
aureole,34 e. 61st st.,new york,212/ 319-1660,?,?
aureole,34 e. 61st st.,?,212-319-1660,?,25
cafe lalo,201 w. 83rd st.,?,?,coffee bar,?
cafe lalo,201 w. 83rd st.,?,212-496-6031,?,26
cafe des artistes,1 w. 67th st.,new york,212/877-3500,continental,?
cafe des artistes,1 w. 67th st.,?,?,french (classic),?
