name,addr,city,phone,type,class
arnie morton's of chicago,435 s. la cienega blv.,los angeles,310/246-1501,american,?
arnie morton's of chicago,435 s. la cienega blvd.,los angeles,310-246-1501,?,0
art's delicatessen,12224 ventura blvd.,studio city,?,american,1
art's deli,12224 ventura blvd.,studio city,818-762-1221,delis,?
hotel bel-air,701 stone canyon rd.,bel air,310/472-1211,?,2
bel-air hotel,701 stone canyon rd.,bel air,310-472-1211,californian,?
cafe bizou,14016 ventura blvd.,?,818/788-3536,french,3
cafe bizou,14016 ventura blvd.,sherman oaks,818-788-3536,?,3
campanile,624 s. la brea ave.,los angeles,213/938-1447,american,4
campanile,624 s. la brea ave.,los angeles,213-938-1447,californian,4
chinois on main,2709 main st.,?,310/392-9025,french,?
chinois on main,2709 main st.,santa monica,?,pacific new wave,5
citrus,6703 melrose ave.,los angeles,?,californian,?
citrus,6703 melrose ave.,los angeles,?,californian,6
fenix,8358 sunset blvd. west,hollywood,213/848-6677,american,7
fenix at the argyle,8358 sunset blvd.,w. hollywood,?,french (new),7
granita,23725 w. malibu rd.,malibu,310/456-0488,?,8
granita,23725 w. malibu rd.,malibu,310-456-0488,californian,8
grill on the alley,9560 dayton way,los angeles,310/276-0615,american,9
grill  the,9560 dayton way,beverly hills,310-276-0615,american (traditional),9
restaurant katsu,1972 n. hillhurst ave.,?,?,asian,?
katsu,1972 hillhurst ave.,los feliz,213-665-1891,japanese,10
l'orangerie,903 n. la cienega blvd.,los angeles,310/652-9770,french,?
l'orangerie,903 n. la cienega blvd.,w. hollywood,310-652-9770,french (classic),?
le chardonnay,8284 melrose ave.,?,213/655-8880,french,12
le chardonnay (los angeles),8284 melrose ave.,?,213-655-8880,french bistro,?
locanda veneta,3rd st.,los angeles,?,italian,13
locanda veneta,8638 w. third st.,los angeles,310-274-1893,italian,?
matsuhisa,129 n. la cienega blvd.,beverly hills,?,?,14
matsuhisa,129 n. la cienega blvd.,beverly hills,310-659-9639,seafood,14
the palm,9001 santa monica blvd.,los angeles,310/550-8811,american,15
