name,addr,city,phone,type,class
arnie morton's of chicago,435 s. la cienega blv.,los angeles,310/246-1501,?,0
arnie morton's of chicago,435 s. la cienega blvd.,los angeles,?,steakhouses,0
art's delicatessen,12224 ventura blvd.,?,818/762-1221,american,?
art's deli,12224 ventura blvd.,?,?,delis,1
hotel bel-air,701 stone canyon rd.,bel air,?,californian,2
bel-air hotel,701 stone canyon rd.,bel air,310-472-1211,?,?
cafe bizou,14016 ventura blvd.,?,818/788-3536,?,?
cafe bizou,14016 ventura blvd.,?,818-788-3536,?,?
campanile,624 s. la brea ave.,los angeles,213/938-1447,american,?
campanile,624 s. la brea ave.,los angeles,?,californian,?
chinois on main,2709 main st.,?,310/392-9025,?,5
chinois on main,2709 main st.,?,310-392-9025,pacific new wave,?
citrus,6703 melrose ave.,los angeles,?,?,6
citrus,6703 melrose ave.,los angeles,?,californian,?
fenix,8358 sunset blvd. west,?,?,american,7
fenix at the argyle,8358 sunset blvd.,w. hollywood,?,french (new),7
granita,23725 w. malibu rd.,?,310/456-0488,?,?
granita,23725 w. malibu rd.,malibu,310-456-0488,?,8
grill on the alley,9560 dayton way,?,310/276-0615,?,?
grill  the,9560 dayton way,beverly hills,?,american (traditional),9
restaurant katsu,1972 n. hillhurst ave.,los angeles,213/665-1891,asian,10
katsu,1972 hillhurst ave.,?,?,?,?
l'orangerie,903 n. la cienega blvd.,?,310/652-9770,?,?
l'orangerie,903 n. la cienega blvd.,?,310-652-9770,?,11
le chardonnay,8284 melrose ave.,?,213/655-8880,?,12
le chardonnay (los angeles),8284 melrose ave.,los angeles,213-655-8880,?,12
locanda veneta,3rd st.,los angeles,310/274-1893,italian,13
locanda veneta,8638 w. third st.,?,310-274-1893,italian,?
matsuhisa,129 n. la cienega blvd.,beverly hills,?,asian,14
matsuhisa,129 n. la cienega blvd.,beverly hills,310-659-9639,seafood,?
the palm,9001 santa monica blvd.,?,?,?,?
palm  the (los angeles),9001 santa monica blvd.,w. hollywood,310-550-8811,steakhouses,15
patina,5955 melrose ave.,?,213/467-1108,californian,?
patina,5955 melrose ave.,los angeles,213-467-1108,?,?
philippe's the original,1001 n. alameda st.,?,?,?,17
philippe the original,1001 n. alameda st.,chinatown,213-628-3781,?,17
pinot bistro,12969 ventura blvd.,los angeles,818/990-0500,french,18
pinot bistro,12969 ventura blvd.,studio city,818-990-0500,french bistro,18
rex il ristorante,617 s. olive st.,?,?,?,?
rex il ristorante,617 s. olive st.,los angeles,?,nuova cucina italian,19
spago,1114 horn ave.,los angeles,?,?,?
spago (los angeles),8795 sunset blvd.,?,?,californian,?
valentino,3115 pico blvd.,?,?,?,21
valentino,3115 pico blvd.,santa monica,310-829-4313,?,21
yujean kang's gourmet chinese cuisine,67 n. raymond ave.,?,?,asian,?
yujean kang's,67 n. raymond ave.,pasadena,818-585-0855,chinese,22
21 club,21 w. 52nd st.,?,?,?,23
21 club,21 w. 52nd st.,?,212-582-7200,?,?
aquavit,13 w. 54th st.,new york,212/307-7311,continental,?
aquavit,13 w. 54th st.,new york city,?,?,24
aureole,34 e. 61st st.,new york,?,american,?
aureole,34 e. 61st st.,new york city,?,?,25
cafe lalo,201 w. 83rd st.,new york,?,?,?
cafe lalo,201 w. 83rd st.,?,?,coffeehouses,?
cafe des artistes,1 w. 67th st.,new york,212/877-3500,?,27
cafe des artistes,1 w. 67th st.,?,?,french (classic),27
carmine's,2450 broadway  between 90th and 91st sts.,new york,?,?,28
carmine's,2450 broadway,?,?,italian,28
carnegie deli,854 7th ave.  between 54th and 55th sts.,new york,?,delicatessen,?
carnegie deli,854 seventh ave.,new york city,?,delis,29
chanterelle,2 harrison st.  near hudson st.,new york,?,american,?
chanterelle,2 harrison st.,?,212-966-6960,french (new),30
daniel,20 e. 76th st.,new york,212/288-0033,?,?
daniel,20 e. 76th st.,?,?,french (new),?
dawat,210 e. 58th st.,new york,212/355-7555,asian,32
dawat,210 e. 58th st.,new york city,?,indian,32
felidia,243 e. 58th st.,new york,?,italian,33
felidia,243 e. 58th st.,?,?,italian,?
four seasons grill room,99 e. 52nd st.,new york,?,?,?
four seasons,99 e. 52nd st.,new york city,?,american (new),?
gotham bar & grill,12 e. 12th st.,new york,?,american,35
