name,addr,city,phone,type,class
arnie morton's of chicago,435 s. la cienega blv.,?,?,american,?
arnie morton's of chicago,435 s. la cienega blvd.,los angeles,310-246-1501,steakhouses,0
art's delicatessen,12224 ventura blvd.,?,818/762-1221,american,1
art's deli,12224 ventura blvd.,studio city,818-762-1221,?,?
hotel bel-air,701 stone canyon rd.,?,?,californian,2
bel-air hotel,701 stone canyon rd.,bel air,310-472-1211,?,?
cafe bizou,14016 ventura blvd.,sherman oaks,818/788-3536,french,?
cafe bizou,14016 ventura blvd.,sherman oaks,?,french bistro,3
campanile,624 s. la brea ave.,los angeles,213/938-1447,american,4
campanile,624 s. la brea ave.,los angeles,?,californian,?
chinois on main,2709 main st.,santa monica,310/392-9025,?,?
chinois on main,2709 main st.,?,?,pacific new wave,5
citrus,6703 melrose ave.,los angeles,213/857-0034,californian,?
citrus,6703 melrose ave.,los angeles,?,californian,6
fenix,8358 sunset blvd. west,hollywood,213/848-6677,american,?
fenix at the argyle,8358 sunset blvd.,w. hollywood,213-848-6677,?,?
granita,23725 w. malibu rd.,?,?,?,8
granita,23725 w. malibu rd.,malibu,?,californian,8
grill on the alley,9560 dayton way,?,?,american,?
grill  the,9560 dayton way,beverly hills,?,?,9
restaurant katsu,1972 n. hillhurst ave.,?,?,?,10
katsu,1972 hillhurst ave.,?,?,?,10
l'orangerie,903 n. la cienega blvd.,los angeles,?,french,?
l'orangerie,903 n. la cienega blvd.,?,?,?,?
le chardonnay,8284 melrose ave.,los angeles,?,?,?
le chardonnay (los angeles),8284 melrose ave.,los angeles,213-655-8880,?,?
locanda veneta,3rd st.,los angeles,310/274-1893,italian,13
locanda veneta,8638 w. third st.,los angeles,?,italian,13
matsuhisa,129 n. la cienega blvd.,?,?,?,?
matsuhisa,129 n. la cienega blvd.,?,310-659-9639,?,14
the palm,9001 santa monica blvd.,los angeles,310/550-8811,american,?
palm  the (los angeles),9001 santa monica blvd.,w. hollywood,310-550-8811,steakhouses,15
patina,5955 melrose ave.,los angeles,?,californian,16
patina,5955 melrose ave.,?,213-467-1108,californian,16
philippe's the original,1001 n. alameda st.,los angeles,213/628-3781,american,?
philippe the original,1001 n. alameda st.,chinatown,213-628-3781,cafeterias,17
pinot bistro,12969 ventura blvd.,?,?,?,18
pinot bistro,12969 ventura blvd.,studio city,818-990-0500,french bistro,?
rex il ristorante,617 s. olive st.,?,213/627-2300,?,19
rex il ristorante,617 s. olive st.,los angeles,?,?,?
spago,1114 horn ave.,?,?,californian,20
spago (los angeles),8795 sunset blvd.,w. hollywood,?,californian,?
valentino,3115 pico blvd.,santa monica,?,?,21
valentino,3115 pico blvd.,santa monica,310-829-4313,?,21
yujean kang's gourmet chinese cuisine,67 n. raymond ave.,los angeles,?,?,22
yujean kang's,67 n. raymond ave.,pasadena,818-585-0855,chinese,?
21 club,21 w. 52nd st.,new york,?,?,23
21 club,21 w. 52nd st.,new york city,?,american (new),23
aquavit,13 w. 54th st.,new york,?,?,?
aquavit,13 w. 54th st.,new york city,?,scandinavian,?
aureole,34 e. 61st st.,new york,212/ 319-1660,?,25
aureole,34 e. 61st st.,new york city,212-319-1660,american (new),25
cafe lalo,201 w. 83rd st.,new york,212/496-6031,?,26
cafe lalo,201 w. 83rd st.,new york city,212-496-6031,coffeehouses,26
cafe des artistes,1 w. 67th st.,new york,212/877-3500,continental,27
cafe des artistes,1 w. 67th st.,?,?,french (classic),27
carmine's,2450 broadway  between 90th and 91st sts.,new york,?,?,?
carmine's,2450 broadway,?,212-362-2200,italian,28
carnegie deli,854 7th ave.  between 54th and 55th sts.,new york,212/757-2245,delicatessen,?
carnegie deli,854 seventh ave.,new york city,212-757-2245,delis,29
chanterelle,2 harrison st.  near hudson st.,new york,212/966-6960,american,30
chanterelle,2 harrison st.,new york city,212-966-6960,?,30
daniel,20 e. 76th st.,new york,212/288-0033,french,?
daniel,20 e. 76th st.,?,212-288-0033,?,31
dawat,210 e. 58th st.,new york,212/355-7555,?,?
dawat,210 e. 58th st.,new york city,?,indian,32
felidia,243 e. 58th st.,new york,212/758-1479,?,?
felidia,243 e. 58th st.,?,212-758-1479,italian,33
four seasons grill room,99 e. 52nd st.,new york,?,american,34
four seasons,99 e. 52nd st.,new york city,212-754-9494,american (new),34
gotham bar & grill,12 e. 12th st.,new york,?,?,35
gotham bar & grill,12 e. 12th st.,?,212-620-4020,american (new),35
gramercy tavern,42 e. 20th st.  between park ave. s and broadway,?,?,american,?
gramercy tavern,42 e. 20th st.,new york city,212-477-0777,?,?
island spice,402 w. 44th st.,new york,?,tel caribbean,37
island spice,402 w. 44th st.,?,212-765-1737,?,37
jo jo,160 e. 64th st.,?,?,american,38
jo jo,160 e. 64th st.,new york city,212-223-5656,?,?
la caravelle,33 w. 55th st.,new york,212/586-4252,french,39
la caravelle,33 w. 55th st.,?,212-586-4252,french (classic),39
la cote basque,60 w. 55th st.  between 5th and 6th ave.,?,212/688-6525,french,40
la cote basque,60 w. 55th st.,new york city,212-688-6525,french (classic),?
le bernardin,155 w. 51st st.,new york,?,?,?
le bernardin,155 w. 51st st.,?,212-489-1515,?,41
les celebrites,160 central park s,new york,212/484-5113,?,?
les celebrites,155 w. 58th st.,?,?,?,42
lespinasse,2 e. 55th st.,new york,212/339-6719,?,43
lespinasse (new york city),2 e. 55th st.,new york city,212-339-6719,asian,?
lutece,249 e. 50th st.,?,?,?,?
lutece,249 e. 50th st.,?,212-752-2225,?,?
manhattan ocean club,57 w. 58th st.,?,212/ 371-7777,?,?
manhattan ocean club,57 w. 58th st.,?,212-371-7777,seafood,45
march,405 e. 58th st.,?,212/754-6272,?,?
march,405 e. 58th st.,?,?,american (new),46
mesa grill,102 5th ave.  between 15th and 16th sts.,new york,212/807-7400,?,47
mesa grill,102 fifth ave.,new york city,?,?,47
mi cocina,57 jane st.  off hudson st.,?,212/627-8273,?,?
mi cocina,57 jane st.,new york city,212-627-8273,mexican,?
montrachet,239 w. broadway  between walker and white sts.,new york,212/ 219-2777,?,?
montrachet,239 w. broadway,new york city,212-219-2777,french bistro,?
oceana,55 e. 54th st.,?,?,seafood,?
oceana,55 e. 54th st.,?,212-759-5941,seafood,?
park avenue cafe,100 e. 63rd st.,new york,?,?,?
park avenue cafe (new york city),100 e. 63rd st.,new york city,212-644-1900,american (new),51
petrossian,182 w. 58th st.,new york,212/245-2214,french,?
petrossian,182 w. 58th st.,new york city,?,?,?
picholine,35 w. 64th st.,?,212/724-8585,?,53
picholine,35 w. 64th st.,?,212-724-8585,?,53
pisces,95 ave. a at 6th st.,?,212/260-6660,seafood,54
pisces,95 ave. a,new york city,?,?,54
rainbow room,30 rockefeller plaza,new york,212/632-5000,or 212/632-5100 american,55
rainbow room,30 rockefeller plaza,new york city,212-632-5000,american (new),?
river cafe,1 water st. at the east river,?,718/522-5200,american,?
river cafe,1 water st.,?,?,american (new),?
san domenico,240 central park s,new york,212/265-5959,italian,57
san domenico,240 central park s.,new york city,212-265-5959,italian,?
second avenue deli,156 2nd ave. at 10th st.,?,212/677-0606,?,?
second avenue deli,156 second ave.,?,212-677-0606,delis,?
seryna,11 e. 53rd st.,new york,212/980-9393,asian,59
seryna,11 e. 53rd st.,new york city,212-980-9393,?,?
shun lee west,43 w. 65th st.,new york,?,?,?
shun lee palace,155 e. 55th st.,new york city,212-371-8844,chinese,60
sign of the dove,1110 3rd ave. at 65th st.,new york,?,american,61
sign of the dove,1110 third ave.,new york city,212-861-8080,?,61
smith & wollensky,201 e. 49th st.,new york,212/753-1530,american,62
smith & wollensky,797 third ave.,?,?,steakhouses,?
tavern on the green,in central park at 67th st.,new york,212/873-3200,?,?
tavern on the green,central park west,?,212-873-3200,?,63
uncle nick's,747 9th ave.  between 50th and 51st sts.,new york,?,mediterranean,?
uncle nick's,747 ninth ave.,?,212-245-7992,greek,64
union square cafe,21 e. 16th st.,?,212/243-4020,american,65
union square cafe,21 e. 16th st.,new york city,212-243-4020,american (new),65
virgil's,152 w. 44th st.,?,212/ 921-9494,american,?
virgil's real bbq,152 w. 44th st.,new york city,212-921-9494,bbq,?
chin's,3200 las vegas blvd. s,?,?,?,?
chin's,3200 las vegas blvd. s.,las vegas,?,?,67
coyote cafe,3799 las vegas blvd. s,las vegas,?,?,68
coyote cafe (las vegas),3799 las vegas blvd. s.,las vegas,?,?,?
le montrachet,3000 w. paradise rd.,?,?,?,69
le montrachet bistro,3000 paradise rd.,?,?,french bistro,?
palace court,3570 las vegas blvd. s,las vegas,702/731-7547,?,?
palace court,3570 las vegas blvd. s.,las vegas,?,french (new),70
second street grille,200 e. fremont st.,las vegas,?,seafood,71
second street grill,200 e. fremont st.,las vegas,702-385-6277,pacific rim,71
steak house,2880 las vegas blvd. s,las vegas,?,steak houses,72
steak house  the,2880 las vegas blvd. s.,las vegas,702-734-0410,?,?
tillerman,2245 e. flamingo rd.,las vegas,?,seafood,73
tillerman  the,2245 e. flamingo rd.,las vegas,?,?,?
abruzzi,2355 peachtree rd.  peachtree battle shopping center,atlanta,404/261-8186,?,?
abruzzi,2355 peachtree rd. ne,atlanta,?,italian,74
bacchanalia,3125 piedmont rd.  near peachtree rd.,atlanta,404/365-0410,international,75
bacchanalia,3125 piedmont rd.,atlanta,404-365-0410,?,75
bone's,3130 piedmont road,atlanta,?,american,?
bone's restaurant,3130 piedmont rd. ne,atlanta,404-237-2663,?,?
brasserie le coze,3393 peachtree rd.  lenox square mall  near neiman marcus,?,404/266-1440,?,77
brasserie le coze,3393 peachtree rd.,atlanta,?,french bistro,77
buckhead diner,3073 piedmont road,atlanta,404/262-3336,american,78
buckhead diner,3073 piedmont rd.,?,404-262-3336,american (new),?
ciboulette,1529 piedmont ave.,atlanta,404/874-7600,?,?
ciboulette restaurant,1529 piedmont ave.,?,404-874-7600,french (new),?
delectables,1 margaret mitchell sq.,?,404/681-2909,?,80
delectables,1 margaret mitchell sq.,atlanta,?,cafeterias,80
georgia grille,2290 peachtree rd.  peachtree square shopping center,atlanta,404/352-3517,american,?
georgia grille,2290 peachtree rd.,?,404-352-3517,?,?
hedgerose heights inn,490 e. paces ferry rd.,atlanta,404/233-7673,?,82
hedgerose heights inn  the,490 e. paces ferry rd. ne,?,404-233-7673,?,82
heera of india,595 piedmont ave.  rio shopping mall,atlanta,?,?,?
heera of india,595 piedmont ave.,?,?,indian,83
indigo coastal grill,1397 n. highland ave.,?,404/876-0676,caribbean,84
indigo coastal grill,1397 n. highland ave.,?,?,eclectic,84
la grotta,2637 peachtree rd.  peachtree house condominium,atlanta,?,italian,?
la grotta,2637 peachtree rd. ne,atlanta,404-231-1368,italian,85
mary mac's tea room,224 ponce de leon ave.,atlanta,404/876-1800,?,86
mary mac's tea room,224 ponce de leon ave.,atlanta,404-876-1800,?,86
nikolai's roof,255 courtland st.  at harris st.,?,404/221-6362,continental,87
nikolai's roof,255 courtland st.,atlanta,?,?,?
pano's and paul's,1232 w. paces ferry rd.,atlanta,?,international,88
pano's & paul's,1232 w. paces ferry rd.,?,404-261-3662,american (new),?
cafe  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,404/237-2700,ext 6108 international,89
ritz-carlton cafe (buckhead),3434 peachtree rd. ne,atlanta,404-237-2700,?,?
dining room  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,?,?,?
ritz-carlton dining room (buckhead),3434 peachtree rd. ne,atlanta,404-237-2700,american (new),?
restaurant  ritz-carlton  atlanta,181 peachtree st.,?,?,continental,91
ritz-carlton restaurant,181 peachtree st.,?,?,?,91
toulouse,b peachtree rd.,?,404/351-9533,french,?
toulouse,293-b peachtree rd.,?,404-351-9533,?,?
veni vidi vici,41 14th st.,atlanta,404/875-8424,italian,?
veni vidi vici,41 14th st.,atlanta,404-875-8424,italian,93
alain rondelli,126 clement st.,?,?,?,?
alain rondelli,126 clement st.,san francisco,?,french (new),94
aqua,252 california st.,san francisco,?,seafood,?
aqua,252 california st.,san francisco,415-956-9662,?,95
boulevard,1 mission st.,?,415/543-6084,?,96
boulevard,1 mission st.,san francisco,415-543-6084,american (new),96
cafe claude,7 claude la.,san francisco,?,french,97
cafe claude,7 claude ln.,san francisco,?,?,?
campton place,340 stockton st.,san francisco,415/955-5555,?,98
campton place,340 stockton st.,?,415-955-5555,american (new),?
chez michel,804 northpoint,san francisco,415/775-7036,?,99
chez michel,804 north point st.,?,415-775-7036,californian,99
fleur de lys,777 sutter st.,?,415/673-7779,french,100
fleur de lys,777 sutter st.,san francisco,415-673-7779,french (new),100
fringale,570 4th st.,?,?,?,101
fringale,570 fourth st.,?,?,?,101
hawthorne lane,22 hawthorne st.,?,?,?,102
hawthorne lane,22 hawthorne st.,san francisco,?,?,?
khan toke thai house,5937 geary blvd.,san francisco,415/668-6654,asian,?
khan toke thai house,5937 geary blvd.,?,415-668-6654,?,?
la folie,2316 polk st.,san francisco,?,french,104
la folie,2316 polk st.,?,?,?,104
lulu,816 folsom st.,?,?,?,105
lulu restaurant-bis-cafe,816 folsom st.,?,?,mediterranean,?
masa's,648 bush st.,?,?,?,?
masa's,648 bush st.,san francisco,415-989-7154,french (new),?
mifune japan center  kintetsu building,1737 post st.,?,415/922-0337,asian,107
mifune,1737 post st.,?,?,japanese,?
plumpjack cafe,3201 fillmore st.,?,?,?,108
plumpjack cafe,3127 fillmore st.,san francisco,415-563-4755,american (new),108
postrio,545 post st.,?,415/776-7825,american,109
postrio,545 post st.,san francisco,415-776-7825,californian,109
ritz-carlton restaurant and dining room,600 stockton st.,san francisco,415/296-7465,?,110
ritz-carlton dining room (san francisco),600 stockton st.,san francisco,?,french (new),110
rose pistola,532 columbus ave.,san francisco,415/399-0499,italian,111
rose pistola,532 columbus ave.,san francisco,?,?,111
adriano's ristorante,2930 beverly glen circle,los angeles,310/475-9807,italian,112
barney greengrass,9570 wilshire blvd.,beverly hills,310/777-5877,american,113
beaurivage,26025 pacific coast hwy.,malibu,?,?,?
bistro garden,176 n. canon dr.,los angeles,310/550-3900,?,?
border grill,4th st.,?,?,mexican,116
broadway deli,3rd st. promenade,?,310/451-0616,american,117
ca'brea,346 s. la brea ave.,los angeles,?,italian,?
ca'del sol,4100 cahuenga blvd.,los angeles,?,italian,119
cafe pinot,700 w. fifth st.,?,213/239-6500,?,120
california pizza kitchen,207 s. beverly dr.,los angeles,310/275-1101,californian,?
canter's,419 n. fairfax ave.,los angeles,?,american,122
cava,3rd st.,?,213/658-8898,?,?
cha cha cha,656 n. virgil ave.,los angeles,?,?,124
chan dara,310 n. larchmont blvd.,?,213/467-1052,?,125
clearwater cafe,168 w. colorado blvd.,los angeles,818/356-0959,?,126
dining room,9500 wilshire blvd.,?,?,?,?
dive!,10250 santa monica blvd.,los angeles,310/788-,dive american,128
drago,2628 wilshire blvd.,?,?,?,?
drai's,730 n. la cienega blvd.,los angeles,?,?,?
dynasty room,930 hilgard ave.,?,310/208-8765,continental,131
