name,addr,city,phone,type,class
arnie morton's of chicago,435 s. la cienega blv.,los angeles,310/246-1501,?,0
arnie morton's of chicago,435 s. la cienega blvd.,?,310-246-1501,steakhouses,0
art's delicatessen,12224 ventura blvd.,?,818/762-1221,american,1
art's deli,12224 ventura blvd.,studio city,?,delis,1
hotel bel-air,701 stone canyon rd.,bel air,?,californian,2
bel-air hotel,701 stone canyon rd.,?,310-472-1211,californian,2
cafe bizou,14016 ventura blvd.,sherman oaks,818/788-3536,french,?
cafe bizou,14016 ventura blvd.,?,818-788-3536,?,?
campanile,624 s. la brea ave.,los angeles,213/938-1447,?,4
campanile,624 s. la brea ave.,los angeles,?,californian,4
chinois on main,2709 main st.,santa monica,?,?,5
chinois on main,2709 main st.,santa monica,310-392-9025,?,5
citrus,6703 melrose ave.,?,213/857-0034,?,?
citrus,6703 melrose ave.,los angeles,?,californian,?
fenix,8358 sunset blvd. west,hollywood,?,?,7
fenix at the argyle,8358 sunset blvd.,w. hollywood,?,?,?
granita,23725 w. malibu rd.,malibu,310/456-0488,californian,?
granita,23725 w. malibu rd.,?,310-456-0488,californian,8
grill on the alley,9560 dayton way,los angeles,?,american,9
grill  the,9560 dayton way,?,310-276-0615,american (traditional),9
restaurant katsu,1972 n. hillhurst ave.,los angeles,213/665-1891,asian,?
katsu,1972 hillhurst ave.,los feliz,213-665-1891,japanese,?
l'orangerie,903 n. la cienega blvd.,los angeles,?,?,11
l'orangerie,903 n. la cienega blvd.,?,?,?,11
le chardonnay,8284 melrose ave.,los angeles,?,?,12
le chardonnay (los angeles),8284 melrose ave.,?,213-655-8880,french bistro,12
locanda veneta,3rd st.,los angeles,310/274-1893,italian,?
locanda veneta,8638 w. third st.,?,?,italian,13
matsuhisa,129 n. la cienega blvd.,beverly hills,?,asian,?
matsuhisa,129 n. la cienega blvd.,?,?,seafood,14
the palm,9001 santa monica blvd.,los angeles,310/550-8811,american,?
palm  the (los angeles),9001 santa monica blvd.,w. hollywood,?,?,?
patina,5955 melrose ave.,los angeles,213/467-1108,californian,16
patina,5955 melrose ave.,los angeles,213-467-1108,californian,?
philippe's the original,1001 n. alameda st.,los angeles,?,american,?
philippe the original,1001 n. alameda st.,chinatown,213-628-3781,cafeterias,17
pinot bistro,12969 ventura blvd.,los angeles,?,?,?
pinot bistro,12969 ventura blvd.,studio city,?,?,?
rex il ristorante,617 s. olive st.,los angeles,?,?,19
rex il ristorante,617 s. olive st.,los angeles,?,?,19
spago,1114 horn ave.,?,310/652-4025,californian,20
spago (los angeles),8795 sunset blvd.,?,?,californian,?
valentino,3115 pico blvd.,santa monica,?,?,21
valentino,3115 pico blvd.,santa monica,?,italian,21
yujean kang's gourmet chinese cuisine,67 n. raymond ave.,los angeles,818/585-0855,asian,22
yujean kang's,67 n. raymond ave.,?,?,?,?
21 club,21 w. 52nd st.,new york,?,american,23
21 club,21 w. 52nd st.,new york city,212-582-7200,american (new),?
aquavit,13 w. 54th st.,new york,212/307-7311,continental,?
aquavit,13 w. 54th st.,?,?,scandinavian,24
aureole,34 e. 61st st.,new york,?,?,25
aureole,34 e. 61st st.,new york city,?,american (new),25
cafe lalo,201 w. 83rd st.,new york,?,coffee bar,?
cafe lalo,201 w. 83rd st.,new york city,?,coffeehouses,26
cafe des artistes,1 w. 67th st.,new york,?,?,?
cafe des artistes,1 w. 67th st.,new york city,212-877-3500,french (classic),?
carmine's,2450 broadway  between 90th and 91st sts.,?,212/362-2200,italian,28
carmine's,2450 broadway,?,212-362-2200,italian,28
carnegie deli,854 7th ave.  between 54th and 55th sts.,new york,212/757-2245,?,29
carnegie deli,854 seventh ave.,new york city,212-757-2245,?,29
chanterelle,2 harrison st.  near hudson st.,new york,?,?,30
chanterelle,2 harrison st.,?,?,?,?
daniel,20 e. 76th st.,?,?,?,31
daniel,20 e. 76th st.,?,?,?,31
dawat,210 e. 58th st.,new york,212/355-7555,?,?
dawat,210 e. 58th st.,new york city,?,indian,?
felidia,243 e. 58th st.,?,212/758-1479,italian,33
felidia,243 e. 58th st.,?,212-758-1479,italian,33
four seasons grill room,99 e. 52nd st.,new york,212/754-9494,american,34
four seasons,99 e. 52nd st.,?,212-754-9494,american (new),?
gotham bar & grill,12 e. 12th st.,?,212/620-4020,american,?
gotham bar & grill,12 e. 12th st.,new york city,?,american (new),35
gramercy tavern,42 e. 20th st.  between park ave. s and broadway,new york,?,american,36
gramercy tavern,42 e. 20th st.,?,?,?,?
island spice,402 w. 44th st.,?,?,tel caribbean,37
island spice,402 w. 44th st.,?,?,caribbean,37
jo jo,160 e. 64th st.,?,212/223-5656,american,38
jo jo,160 e. 64th st.,new york city,?,french bistro,?
la caravelle,33 w. 55th st.,new york,212/586-4252,french,39
la caravelle,33 w. 55th st.,?,?,?,?
la cote basque,60 w. 55th st.  between 5th and 6th ave.,?,?,french,?
la cote basque,60 w. 55th st.,?,?,french (classic),40
le bernardin,155 w. 51st st.,new york,?,french,?
le bernardin,155 w. 51st st.,?,212-489-1515,?,41
les celebrites,160 central park s,?,212/484-5113,french,42
