name,addr,city,phone,type,class
arnie morton's of chicago,435 s. la cienega blv.,?,?,?,?
arnie morton's of chicago,435 s. la cienega blvd.,los angeles,?,steakhouses,?
art's delicatessen,12224 ventura blvd.,?,?,american,1
art's deli,12224 ventura blvd.,studio city,?,?,?
hotel bel-air,701 stone canyon rd.,?,310/472-1211,?,?
bel-air hotel,701 stone canyon rd.,bel air,?,californian,?
cafe bizou,14016 ventura blvd.,?,?,?,?
cafe bizou,14016 ventura blvd.,?,818-788-3536,?,3
campanile,624 s. la brea ave.,los angeles,?,?,?
campanile,624 s. la brea ave.,los angeles,?,?,?
chinois on main,2709 main st.,santa monica,?,?,5
chinois on main,2709 main st.,?,310-392-9025,pacific new wave,?
citrus,6703 melrose ave.,?,?,californian,6
citrus,6703 melrose ave.,los angeles,213-857-0034,?,?
fenix,8358 sunset blvd. west,hollywood,?,?,7
fenix at the argyle,8358 sunset blvd.,?,?,?,?
granita,23725 w. malibu rd.,malibu,?,californian,?
granita,23725 w. malibu rd.,?,310-456-0488,californian,?
grill on the alley,9560 dayton way,los angeles,310/276-0615,?,?
grill  the,9560 dayton way,?,?,american (traditional),?
restaurant katsu,1972 n. hillhurst ave.,?,?,?,?
katsu,1972 hillhurst ave.,?,?,japanese,?
l'orangerie,903 n. la cienega blvd.,los angeles,310/652-9770,french,11
l'orangerie,903 n. la cienega blvd.,w. hollywood,?,?,11
le chardonnay,8284 melrose ave.,los angeles,?,?,?
le chardonnay (los angeles),8284 melrose ave.,?,?,?,?
locanda veneta,3rd st.,?,?,italian,?
locanda veneta,8638 w. third st.,?,310-274-1893,?,13
matsuhisa,129 n. la cienega blvd.,?,310/659-9639,asian,?
matsuhisa,129 n. la cienega blvd.,?,?,seafood,?
the palm,9001 santa monica blvd.,los angeles,?,american,15
palm  the (los angeles),9001 santa monica blvd.,w. hollywood,?,steakhouses,?
patina,5955 melrose ave.,?,?,?,?
patina,5955 melrose ave.,los angeles,213-467-1108,?,16
philippe's the original,1001 n. alameda st.,los angeles,213/628-3781,?,17
philippe the original,1001 n. alameda st.,?,213-628-3781,cafeterias,?
pinot bistro,12969 ventura blvd.,?,818/990-0500,?,18
pinot bistro,12969 ventura blvd.,?,?,?,18
rex il ristorante,617 s. olive st.,?,?,?,?
rex il ristorante,617 s. olive st.,los angeles,213-627-2300,?,19
spago,1114 horn ave.,?,?,?,?
spago (los angeles),8795 sunset blvd.,w. hollywood,310-652-4025,californian,20
valentino,3115 pico blvd.,?,?,?,21
valentino,3115 pico blvd.,?,?,italian,21
yujean kang's gourmet chinese cuisine,67 n. raymond ave.,los angeles,?,?,?
yujean kang's,67 n. raymond ave.,?,818-585-0855,chinese,?
21 club,21 w. 52nd st.,?,?,?,?
21 club,21 w. 52nd st.,new york city,?,american (new),23
aquavit,13 w. 54th st.,new york,?,?,?
aquavit,13 w. 54th st.,new york city,212-307-7311,scandinavian,?
aureole,34 e. 61st st.,?,?,american,?
aureole,34 e. 61st st.,?,?,?,?
cafe lalo,201 w. 83rd st.,new york,?,?,26
cafe lalo,201 w. 83rd st.,new york city,?,?,?
cafe des artistes,1 w. 67th st.,new york,?,continental,?
