name,addr,city,phone,type,class
arnie morton's of chicago,435 s. la cienega blv.,los angeles,310/246-1501,american,0
arnie morton's of chicago,435 s. la cienega blvd.,los angeles,?,?,?
art's delicatessen,12224 ventura blvd.,?,818/762-1221,?,1
art's deli,12224 ventura blvd.,?,818-762-1221,?,?
hotel bel-air,701 stone canyon rd.,?,?,californian,2
bel-air hotel,701 stone canyon rd.,bel air,310-472-1211,?,?
cafe bizou,14016 ventura blvd.,?,?,french,?
cafe bizou,14016 ventura blvd.,sherman oaks,?,?,3
campanile,624 s. la brea ave.,?,213/938-1447,?,?
campanile,624 s. la brea ave.,?,?,californian,?
chinois on main,2709 main st.,?,?,french,?
chinois on main,2709 main st.,santa monica,310-392-9025,?,?
citrus,6703 melrose ave.,los angeles,213/857-0034,californian,6
citrus,6703 melrose ave.,los angeles,?,californian,6
fenix,8358 sunset blvd. west,?,213/848-6677,american,7
fenix at the argyle,8358 sunset blvd.,?,?,french (new),?
granita,23725 w. malibu rd.,?,?,?,?
granita,23725 w. malibu rd.,malibu,310-456-0488,californian,?
grill on the alley,9560 dayton way,?,310/276-0615,?,?
grill  the,9560 dayton way,?,?,american (traditional),9
restaurant katsu,1972 n. hillhurst ave.,?,?,?,?
katsu,1972 hillhurst ave.,?,?,?,?
l'orangerie,903 n. la cienega blvd.,?,?,french,11
l'orangerie,903 n. la cienega blvd.,?,310-652-9770,french (classic),11
le chardonnay,8284 melrose ave.,?,?,french,?
le chardonnay (los angeles),8284 melrose ave.,los angeles,213-655-8880,french bistro,12
locanda veneta,3rd st.,?,?,italian,?
locanda veneta,8638 w. third st.,?,?,?,13
matsuhisa,129 n. la cienega blvd.,beverly hills,310/659-9639,?,14
matsuhisa,129 n. la cienega blvd.,?,?,seafood,14
the palm,9001 santa monica blvd.,?,310/550-8811,american,15
palm  the (los angeles),9001 santa monica blvd.,?,?,?,15
patina,5955 melrose ave.,los angeles,?,?,16
patina,5955 melrose ave.,los angeles,213-467-1108,?,?
philippe's the original,1001 n. alameda st.,?,?,?,17
philippe the original,1001 n. alameda st.,chinatown,?,cafeterias,?
pinot bistro,12969 ventura blvd.,los angeles,818/990-0500,?,?
pinot bistro,12969 ventura blvd.,studio city,818-990-0500,?,18
rex il ristorante,617 s. olive st.,?,?,italian,19
rex il ristorante,617 s. olive st.,los angeles,213-627-2300,?,?
spago,1114 horn ave.,los angeles,?,?,?
spago (los angeles),8795 sunset blvd.,?,?,?,20
valentino,3115 pico blvd.,?,?,?,?
valentino,3115 pico blvd.,?,?,?,21
yujean kang's gourmet chinese cuisine,67 n. raymond ave.,?,?,?,?
yujean kang's,67 n. raymond ave.,pasadena,818-585-0855,chinese,?
21 club,21 w. 52nd st.,?,212/582-7200,?,?
21 club,21 w. 52nd st.,?,?,?,23
aquavit,13 w. 54th st.,?,212/307-7311,?,?
aquavit,13 w. 54th st.,new york city,212-307-7311,?,?
aureole,34 e. 61st st.,?,212/ 319-1660,?,?
aureole,34 e. 61st st.,?,212-319-1660,american (new),?
cafe lalo,201 w. 83rd st.,?,?,coffee bar,26
cafe lalo,201 w. 83rd st.,new york city,?,?,?
cafe des artistes,1 w. 67th st.,?,?,continental,27
cafe des artistes,1 w. 67th st.,?,?,?,?
carmine's,2450 broadway  between 90th and 91st sts.,new york,?,italian,28
carmine's,2450 broadway,?,212-362-2200,?,?
carnegie deli,854 7th ave.  between 54th and 55th sts.,?,212/757-2245,?,?
carnegie deli,854 seventh ave.,new york city,212-757-2245,?,29
chanterelle,2 harrison st.  near hudson st.,?,?,american,?
chanterelle,2 harrison st.,new york city,?,?,30
daniel,20 e. 76th st.,?,212/288-0033,french,?
daniel,20 e. 76th st.,?,?,?,31
dawat,210 e. 58th st.,new york,?,asian,32
dawat,210 e. 58th st.,?,?,?,32
felidia,243 e. 58th st.,new york,?,?,33
felidia,243 e. 58th st.,?,?,italian,?
four seasons grill room,99 e. 52nd st.,new york,?,?,34
four seasons,99 e. 52nd st.,?,?,american (new),34
gotham bar & grill,12 e. 12th st.,new york,212/620-4020,?,?
gotham bar & grill,12 e. 12th st.,?,?,?,35
gramercy tavern,42 e. 20th st.  between park ave. s and broadway,new york,?,american,36
gramercy tavern,42 e. 20th st.,?,?,american (new),?
island spice,402 w. 44th st.,new york,?,?,?
island spice,402 w. 44th st.,?,212-765-1737,caribbean,?
jo jo,160 e. 64th st.,?,212/223-5656,?,?
jo jo,160 e. 64th st.,new york city,212-223-5656,?,?
la caravelle,33 w. 55th st.,?,?,?,39
la caravelle,33 w. 55th st.,?,?,?,?
la cote basque,60 w. 55th st.  between 5th and 6th ave.,?,212/688-6525,?,40
la cote basque,60 w. 55th st.,?,212-688-6525,?,?
le bernardin,155 w. 51st st.,new york,212/489-1515,?,41
le bernardin,155 w. 51st st.,new york city,?,?,?
les celebrites,160 central park s,?,?,?,?
les celebrites,155 w. 58th st.,?,212-484-5113,french (classic),?
lespinasse,2 e. 55th st.,?,?,american,?
lespinasse (new york city),2 e. 55th st.,?,212-339-6719,?,?
lutece,249 e. 50th st.,?,212/752-2225,french,?
lutece,249 e. 50th st.,new york city,?,?,?
manhattan ocean club,57 w. 58th st.,new york,?,seafood,?
manhattan ocean club,57 w. 58th st.,?,212-371-7777,seafood,45
march,405 e. 58th st.,?,?,american,?
march,405 e. 58th st.,new york city,212-754-6272,?,46
mesa grill,102 5th ave.  between 15th and 16th sts.,new york,212/807-7400,american,?
mesa grill,102 fifth ave.,?,212-807-7400,?,?
mi cocina,57 jane st.  off hudson st.,?,?,?,48
mi cocina,57 jane st.,new york city,?,?,48
montrachet,239 w. broadway  between walker and white sts.,?,212/ 219-2777,?,?
montrachet,239 w. broadway,?,212-219-2777,?,49
oceana,55 e. 54th st.,?,?,seafood,?
oceana,55 e. 54th st.,new york city,?,seafood,?
park avenue cafe,100 e. 63rd st.,new york,212/644-1900,american,?
park avenue cafe (new york city),100 e. 63rd st.,?,212-644-1900,?,51
petrossian,182 w. 58th st.,?,212/245-2214,french,52
petrossian,182 w. 58th st.,new york city,?,?,?
picholine,35 w. 64th st.,?,?,?,53
picholine,35 w. 64th st.,?,?,?,?
pisces,95 ave. a at 6th st.,new york,212/260-6660,?,54
pisces,95 ave. a,?,?,seafood,54
rainbow room,30 rockefeller plaza,?,?,?,?
rainbow room,30 rockefeller plaza,new york city,?,american (new),55
river cafe,1 water st. at the east river,?,718/522-5200,american,56
river cafe,1 water st.,?,?,?,56
san domenico,240 central park s,?,212/265-5959,italian,?
san domenico,240 central park s.,?,?,?,57
second avenue deli,156 2nd ave. at 10th st.,?,?,delicatessen,58
second avenue deli,156 second ave.,?,?,?,58
seryna,11 e. 53rd st.,new york,?,?,?
seryna,11 e. 53rd st.,?,?,japanese,?
shun lee west,43 w. 65th st.,new york,212/371-8844,?,?
shun lee palace,155 e. 55th st.,?,?,?,?
sign of the dove,1110 3rd ave. at 65th st.,new york,?,?,?
sign of the dove,1110 third ave.,new york city,?,?,61
smith & wollensky,201 e. 49th st.,?,?,?,?
smith & wollensky,797 third ave.,new york city,?,steakhouses,?
tavern on the green,in central park at 67th st.,?,212/873-3200,american,63
tavern on the green,central park west,?,212-873-3200,?,?
uncle nick's,747 9th ave.  between 50th and 51st sts.,?,?,?,64
uncle nick's,747 ninth ave.,?,?,?,?
union square cafe,21 e. 16th st.,new york,?,?,65
union square cafe,21 e. 16th st.,new york city,212-243-4020,american (new),?
virgil's,152 w. 44th st.,new york,?,?,66
virgil's real bbq,152 w. 44th st.,?,?,bbq,?
chin's,3200 las vegas blvd. s,?,?,asian,67
chin's,3200 las vegas blvd. s.,las vegas,702-733-8899,?,?
coyote cafe,3799 las vegas blvd. s,?,?,southwestern,?
coyote cafe (las vegas),3799 las vegas blvd. s.,?,702-891-7349,southwestern,68
le montrachet,3000 w. paradise rd.,las vegas,?,continental,69
le montrachet bistro,3000 paradise rd.,las vegas,?,?,?
palace court,3570 las vegas blvd. s,las vegas,?,?,?
palace court,3570 las vegas blvd. s.,?,?,french (new),?
second street grille,200 e. fremont st.,?,?,seafood,?
second street grill,200 e. fremont st.,?,?,?,?
steak house,2880 las vegas blvd. s,?,?,steak houses,72
