name,addr,city,phone,type,class
arnie morton's of chicago,435 s. la cienega blv.,los angeles,310/246-1501,american,?
arnie morton's of chicago,435 s. la cienega blvd.,?,310-246-1501,steakhouses,?
art's delicatessen,12224 ventura blvd.,?,818/762-1221,american,?
art's deli,12224 ventura blvd.,studio city,?,?,1
hotel bel-air,701 stone canyon rd.,bel air,310/472-1211,californian,2
bel-air hotel,701 stone canyon rd.,bel air,310-472-1211,?,2
cafe bizou,14016 ventura blvd.,sherman oaks,818/788-3536,french,?
cafe bizou,14016 ventura blvd.,sherman oaks,818-788-3536,french bistro,?
campanile,624 s. la brea ave.,los angeles,?,american,4
campanile,624 s. la brea ave.,los angeles,213-938-1447,californian,4
chinois on main,2709 main st.,santa monica,310/392-9025,?,5
chinois on main,2709 main st.,?,310-392-9025,pacific new wave,?
citrus,6703 melrose ave.,?,213/857-0034,?,6
citrus,6703 melrose ave.,?,213-857-0034,?,6
fenix,8358 sunset blvd. west,hollywood,213/848-6677,american,7
fenix at the argyle,8358 sunset blvd.,w. hollywood,?,french (new),?
granita,23725 w. malibu rd.,malibu,310/456-0488,?,?
granita,23725 w. malibu rd.,malibu,310-456-0488,californian,8
grill on the alley,9560 dayton way,los angeles,310/276-0615,?,9
grill  the,9560 dayton way,beverly hills,310-276-0615,american (traditional),9
restaurant katsu,1972 n. hillhurst ave.,?,?,?,?
katsu,1972 hillhurst ave.,los feliz,?,?,?
l'orangerie,903 n. la cienega blvd.,?,310/652-9770,?,11
l'orangerie,903 n. la cienega blvd.,w. hollywood,310-652-9770,?,11
le chardonnay,8284 melrose ave.,los angeles,213/655-8880,?,12
le chardonnay (los angeles),8284 melrose ave.,los angeles,?,?,12
locanda veneta,3rd st.,los angeles,310/274-1893,italian,13
locanda veneta,8638 w. third st.,los angeles,310-274-1893,?,13
matsuhisa,129 n. la cienega blvd.,beverly hills,?,asian,?
matsuhisa,129 n. la cienega blvd.,?,310-659-9639,seafood,?
the palm,9001 santa monica blvd.,?,?,american,15
palm  the (los angeles),9001 santa monica blvd.,?,?,steakhouses,15
patina,5955 melrose ave.,los angeles,213/467-1108,californian,?
patina,5955 melrose ave.,los angeles,213-467-1108,californian,16
philippe's the original,1001 n. alameda st.,los angeles,?,american,?
philippe the original,1001 n. alameda st.,chinatown,213-628-3781,?,17
pinot bistro,12969 ventura blvd.,los angeles,818/990-0500,french,18
pinot bistro,12969 ventura blvd.,studio city,?,french bistro,18
rex il ristorante,617 s. olive st.,los angeles,213/627-2300,italian,?
rex il ristorante,617 s. olive st.,los angeles,?,nuova cucina italian,19
spago,1114 horn ave.,?,310/652-4025,californian,?
spago (los angeles),8795 sunset blvd.,?,310-652-4025,californian,20
valentino,3115 pico blvd.,santa monica,310/829-4313,italian,21
valentino,3115 pico blvd.,santa monica,?,italian,?
yujean kang's gourmet chinese cuisine,67 n. raymond ave.,los angeles,818/585-0855,asian,22
yujean kang's,67 n. raymond ave.,pasadena,?,?,22
21 club,21 w. 52nd st.,new york,212/582-7200,?,23
21 club,21 w. 52nd st.,?,212-582-7200,?,23
aquavit,13 w. 54th st.,new york,?,continental,?
aquavit,13 w. 54th st.,new york city,?,scandinavian,24
aureole,34 e. 61st st.,new york,212/ 319-1660,american,25
aureole,34 e. 61st st.,new york city,212-319-1660,american (new),25
cafe lalo,201 w. 83rd st.,new york,212/496-6031,?,26
cafe lalo,201 w. 83rd st.,?,?,?,26
cafe des artistes,1 w. 67th st.,new york,212/877-3500,continental,27
cafe des artistes,1 w. 67th st.,?,212-877-3500,french (classic),27
carmine's,2450 broadway  between 90th and 91st sts.,new york,212/362-2200,?,28
carmine's,2450 broadway,?,212-362-2200,italian,28
carnegie deli,854 7th ave.  between 54th and 55th sts.,new york,?,delicatessen,29
carnegie deli,854 seventh ave.,?,?,?,29
chanterelle,2 harrison st.  near hudson st.,new york,212/966-6960,american,30
chanterelle,2 harrison st.,new york city,212-966-6960,french (new),?
daniel,20 e. 76th st.,new york,212/288-0033,french,31
daniel,20 e. 76th st.,?,212-288-0033,french (new),31
dawat,210 e. 58th st.,new york,?,asian,?
dawat,210 e. 58th st.,?,?,indian,32
felidia,243 e. 58th st.,?,212/758-1479,italian,33
felidia,243 e. 58th st.,new york city,212-758-1479,?,?
four seasons grill room,99 e. 52nd st.,new york,?,american,34
four seasons,99 e. 52nd st.,new york city,?,american (new),?
gotham bar & grill,12 e. 12th st.,new york,212/620-4020,american,35
gotham bar & grill,12 e. 12th st.,new york city,212-620-4020,american (new),?
gramercy tavern,42 e. 20th st.  between park ave. s and broadway,?,212/477-0777,american,?
gramercy tavern,42 e. 20th st.,?,212-477-0777,american (new),36
island spice,402 w. 44th st.,new york,212/765-1737,tel caribbean,37
island spice,402 w. 44th st.,?,?,caribbean,37
jo jo,160 e. 64th st.,new york,212/223-5656,american,?
jo jo,160 e. 64th st.,new york city,212-223-5656,?,38
la caravelle,33 w. 55th st.,new york,212/586-4252,french,39
la caravelle,33 w. 55th st.,new york city,212-586-4252,french (classic),39
la cote basque,60 w. 55th st.  between 5th and 6th ave.,?,212/688-6525,french,?
la cote basque,60 w. 55th st.,new york city,212-688-6525,french (classic),40
le bernardin,155 w. 51st st.,new york,?,french,41
