white_king_col,white_king_row,white_rook_col,white_rook_row,black_king_col,black_king_row,game
a,1,b,3,c,2,draw
,1,c,1,c,,draw
,1,c,1,d,1,draw
,1,c,1,d,2,draw
,1,c,2,c,,draw
,1,c,2,c,,draw
,1,c,2,d,1,draw
,1,c,2,d,2,draw
,1,c,2,d,3,draw
,1,c,3,c,,draw
,1,c,3,d,2,draw
,1,c,3,d,3,draw
,1,c,3,d,4,draw
,1,c,4,d,3,draw
,1,d,1,c,,draw
,1,d,1,c,,draw
,1,d,1,d,2,draw
,1,d,1,e,1,draw
,1,d,1,e,2,draw
,1,d,2,c,,draw
,1,d,2,c,,draw
,1,d,2,c,,draw
,1,d,2,d,1,draw
,1,d,2,d,3,draw
,1,d,2,e,1,draw
,1,d,2,e,2,draw
,1,d,2,e,3,draw
,1,d,3,c,,draw
,1,d,3,c,,draw
,1,d,3,d,2,draw
,1,d,3,d,4,draw
,1,d,3,e,2,draw
,1,d,3,e,3,draw
,1,d,3,e,4,draw
,1,d,4,c,,draw
,1,d,4,d,,draw
,1,d,4,e,3,draw
,1,d,4,e,4,draw
,1,d,4,e,5,draw
,1,d,5,e,4,draw
,1,e,1,d,1,draw
,1,e,1,d,,draw
,1,e,1,e,2,draw
,1,e,1,f,1,draw
,1,e,1,f,2,draw
,1,e,2,d,1,draw
,1,e,2,d,2,draw
,1,e,,d,3,draw
,1,e,2,e,1,draw
,1,e,,e,3,draw
,1,e,2,f,1,draw
,1,e,2,f,2,draw
,1,e,,f,3,draw
,1,e,3,d,2,draw
,1,e,,d,3,draw
,1,e,3,d,4,draw
,1,e,3,e,2,draw
,1,e,3,e,4,draw
,1,e,3,f,2,draw
,1,e,,f,3,draw
,1,e,3,f,4,draw
,1,e,,d,3,draw
,1,e,4,d,4,draw
,1,e,,e,3,draw
,1,e,4,e,5,draw
,1,e,,f,3,draw
,1,e,4,f,4,draw
,1,e,4,f,5,draw
,1,e,5,d,4,draw
,1,e,5,e,4,draw
,1,e,5,f,4,draw
,1,e,5,f,5,draw
,1,e,5,f,6,draw
,1,e,6,f,5,draw
,1,f,1,e,1,draw
,1,f,1,e,2,draw
,1,f,1,f,2,draw
,1,f,1,g,1,draw
,1,f,1,g,2,draw
,1,f,2,e,1,draw
,1,f,2,e,2,draw
,1,f,,e,3,draw
,1,f,2,f,1,draw
,1,f,,f,3,draw
,1,f,2,g,1,draw
,1,f,2,g,2,draw
,1,f,,g,3,draw
,1,f,3,e,2,draw
,1,f,,e,3,draw
,1,f,3,e,4,draw
,1,f,3,f,2,draw
,1,f,3,f,4,draw
,1,f,3,g,2,draw
,1,f,,g,3,draw
,1,f,3,g,4,draw
,1,f,,e,3,draw
,1,f,4,e,4,draw
,1,f,4,e,5,draw
,1,f,,f,3,draw
,1,f,4,f,5,draw
,1,f,,g,3,draw
,1,f,4,g,4,draw
,1,f,4,g,5,draw
,1,f,5,e,4,draw
,1,f,5,e,5,draw
,1,f,5,f,4,draw
,1,f,5,f,6,draw
,1,f,5,g,4,draw
,1,f,5,g,5,draw
,1,f,5,g,6,draw
,1,f,6,e,5,draw
,1,f,6,f,5,draw
,1,f,6,g,5,draw
,1,f,6,g,6,draw
,1,f,6,g,7,draw
,1,f,7,g,6,draw
,1,g,1,f,1,draw
,1,g,1,f,2,draw
,1,g,1,g,2,draw
,1,g,1,h,1,draw
,1,g,1,h,2,draw
,1,g,2,f,1,draw
,1,g,2,f,2,draw
,1,g,,f,3,draw
,1,g,2,g,1,draw
,1,g,,g,3,draw
,1,g,2,h,1,draw
,1,g,2,h,2,draw
,1,g,,h,3,draw
,1,g,3,f,2,draw
,1,g,,f,3,draw
,1,g,3,f,4,draw
,1,g,3,g,2,draw
,1,g,3,g,4,draw
,1,g,3,h,2,draw
,1,g,,h,3,draw
,1,g,3,h,4,draw
,1,g,,f,3,draw
,1,g,4,f,4,draw
,1,g,4,f,5,draw
,1,g,,g,3,draw
,1,g,4,g,5,draw
,1,g,,h,3,draw
,1,g,4,h,4,draw
,1,g,4,h,5,draw
,1,g,5,f,4,draw
,1,g,5,f,5,draw
,1,g,5,f,6,draw
,1,g,5,g,4,draw
,1,g,5,g,6,draw
,1,g,5,h,4,draw
,1,g,5,h,5,draw
,1,g,5,h,6,draw
,1,g,6,f,5,draw
,1,g,6,f,6,draw
,1,g,6,g,5,draw
,1,g,6,g,7,draw
,1,g,6,h,5,draw
,1,g,6,h,6,draw
,1,g,6,h,7,draw
,1,g,7,f,6,draw
,1,g,7,g,6,draw
,1,g,7,h,6,draw
,1,g,7,h,7,draw
,1,g,7,h,8,draw
,1,g,8,h,7,draw
,1,h,1,g,1,draw
,1,h,1,g,2,draw
,1,h,1,h,2,draw
,1,h,2,g,1,draw
,1,h,2,g,2,draw
,1,h,,g,3,draw
,1,h,2,h,1,draw
,1,h,,h,3,draw
,1,h,3,g,2,draw
,1,h,,g,3,draw
,1,h,3,g,4,draw
,1,h,3,h,2,draw
,1,h,3,h,4,draw
,1,h,,g,3,draw
,1,h,4,g,4,draw
,1,h,4,g,5,draw
,1,h,,h,3,draw
,1,h,4,h,5,draw
,1,h,5,g,4,draw
,1,h,5,g,5,draw
,1,h,5,g,6,draw
,1,h,5,h,4,draw
,1,h,5,h,6,draw
,1,h,6,g,5,draw
,1,h,6,g,6,draw
,1,h,6,g,7,draw
,1,h,6,,5,draw
,1,h,6,,7,draw
,1,h,7,,6,draw
,1,h,7,,7,draw
,1,h,7,,6,draw
,1,h,7,,8,draw
,1,h,8,,7,draw
,1,h,8,,7,draw
,1,a,3,a,4,draw
,1,a,,b,3,draw
,1,a,3,b,4,draw
,1,a,,a,3,draw
,1,a,4,a,5,draw
,1,a,,b,3,draw
,1,a,4,b,4,draw
,1,a,4,b,5,draw
,1,a,5,a,4,draw
,1,a,5,a,6,draw
,1,a,5,b,4,draw
,1,a,5,b,5,draw
,1,a,5,b,6,draw
,1,a,6,a,5,draw
,1,a,6,a,7,draw
,1,a,6,b,5,draw
,1,a,6,b,6,draw
,1,a,6,b,7,draw
,1,a,7,a,6,draw
,1,a,7,a,8,draw
,1,a,7,b,6,draw
,1,a,7,b,7,draw
,1,a,7,b,8,draw
