white_king_col,white_king_row,white_rook_col,white_rook_row,black_king_col,black_king_row,game
a,1,b,3,c,2,draw
a,1,c,1,c,,
a,1,c,1,d,,
a,1,c,1,d,,
a,1,c,2,c,,
a,1,c,2,c,,
a,1,c,2,d,,
a,1,c,2,d,,
a,1,c,2,d,,
a,1,c,3,c,,
a,1,c,3,d,,
a,1,c,3,d,,
a,1,c,3,d,,
a,1,c,4,d,,
a,1,d,1,c,,
a,1,d,1,c,,
a,1,d,1,d,2,draw
a,1,d,1,e,,
a,1,d,1,e,2,draw
a,1,d,2,c,1,draw
a,1,d,2,c,2,draw
a,1,d,2,c,3,draw
a,1,d,2,d,1,draw
a,1,d,2,d,3,draw
a,1,d,2,e,1,draw
a,1,d,2,e,2,draw
a,1,d,2,e,3,draw
a,1,d,3,c,2,draw
a,1,d,3,c,3,draw
a,1,d,3,d,2,draw
a,1,d,3,d,4,draw
a,1,d,3,e,2,draw
a,1,d,3,e,3,draw
a,1,d,3,e,4,draw
a,1,d,4,c,3,draw
a,1,d,4,d,3,draw
a,1,d,4,e,,
a,1,d,4,e,,
a,1,d,4,e,,
a,1,d,5,e,,
a,1,e,1,d,,
a,1,e,1,d,,
a,1,e,1,e,,
a,1,e,1,f,,
a,1,e,1,f,,
a,1,e,2,d,,
a,1,e,2,d,,
a,1,e,2,d,,
a,1,e,2,e,,
a,1,e,2,e,,
a,1,e,2,f,,
a,1,e,2,f,,
a,1,e,2,f,,
a,1,e,3,d,,
a,1,e,3,d,,
a,1,e,3,d,,
a,1,e,3,e,,
a,1,e,3,e,,
a,1,e,3,f,,
a,1,e,3,f,,
a,1,e,3,f,,
a,1,e,4,d,,
a,1,e,4,d,,
a,1,e,4,e,,
a,1,e,4,e,,
a,1,e,4,f,,
a,1,e,4,f,,
a,1,e,4,f,,
a,1,e,5,d,,
a,1,e,5,e,,
a,1,e,5,f,,
a,1,e,5,f,,
a,1,e,5,f,,
a,1,e,6,,5,draw
a,1,f,1,e,1,draw
a,1,f,1,e,2,draw
a,1,f,1,f,2,draw
a,1,f,1,g,1,draw
a,1,f,1,g,2,draw
a,1,f,2,e,1,draw
a,1,f,2,e,2,draw
a,1,f,2,e,3,draw
a,1,f,2,f,1,draw
a,1,f,2,f,3,draw
a,1,f,2,g,1,draw
a,1,f,2,g,2,draw
a,1,f,2,g,3,draw
a,1,f,3,e,2,draw
a,1,f,3,e,3,draw
a,1,f,3,e,4,draw
a,1,f,3,f,2,draw
a,1,f,3,f,4,draw
a,1,f,3,g,2,draw
a,1,f,3,g,3,draw
a,1,f,3,g,4,draw
a,1,f,4,e,3,draw
a,1,f,4,e,4,draw
a,1,f,4,e,5,draw
a,1,f,4,f,3,draw
a,1,f,4,f,5,draw
a,1,f,4,g,3,draw
a,1,f,4,g,4,draw
a,1,f,4,g,5,draw
a,1,f,5,e,4,draw
a,1,f,5,e,5,draw
a,1,f,5,f,4,draw
a,1,f,5,f,6,draw
a,1,f,5,g,4,draw
a,1,f,5,g,5,draw
a,1,f,5,g,6,draw
a,1,f,6,e,5,draw
a,1,f,6,f,5,draw
a,1,f,6,g,5,draw
a,1,f,6,g,6,draw
a,1,f,6,g,7,draw
a,1,f,7,g,6,draw
a,1,g,1,f,1,draw
